date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:40:07	1691/1691	---M--	200	added ('OK')	image/png	etag:%2255d762d7-69b%22	http://html.templines.com/sokolcov/garden-master/media/34x34/haystack.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/34x34/haystack.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:08	1707/1707	---M--	200	added ('OK')	image/png	etag:%2255d762d9-6ab%22	http://html.templines.com/sokolcov/garden-master/media/34x34/tractor.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/34x34/tractor.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:08	1498/1498	---M--	200	added ('OK')	image/png	etag:%2255d762d7-5da%22	http://html.templines.com/sokolcov/garden-master/media/34x34/pear.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/34x34/pear.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:09	1480/1480	---M--	200	added ('OK')	image/png	etag:%2255d762d7-5c8%22	http://html.templines.com/sokolcov/garden-master/media/34x34/tap.png	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/34x34/tap.png	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:13	189727/189727	---M--	200	added ('OK')	image/jpeg	etag:%2255d762fa-2e51f%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/8.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/8.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:18	182682/182682	---M--	200	added ('OK')	image/jpeg	etag:%2255d762fb-2c99a%22	http://html.templines.com/sokolcov/garden-master/media/demo-page/9.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/demo-page/9.jpg	(from http://html.templines.com/sokolcov/garden-master/.)
20:40:18	28912/28912	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e5-70f0%22	http://html.templines.com/sokolcov/garden-master/media/400x300/pr-5.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/400x300/pr-5.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:25	36425/36425	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e6-8e49%22	http://html.templines.com/sokolcov/garden-master/media/400x300/pr-7.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/400x300/pr-7.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:29	67748/67748	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e6-108a4%22	http://html.templines.com/sokolcov/garden-master/media/400x300/pr-6.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/400x300/pr-6.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
20:40:33	53365/53365	---M--	200	added ('OK')	image/jpeg	etag:%2255d762e6-d075%22	http://html.templines.com/sokolcov/garden-master/media/400x300/pr-8.jpg	G:/xampp/htdocs/satpura1/html.templines.com/sokolcov/garden-master/media/400x300/pr-8.jpg	(from http://html.templines.com/sokolcov/garden-master/home-1.html)
